quality_group,bigram,n,tf,idf,tf_idf
<= 3.5,teaching teacher,25,8.792909397861565e-4,0.6931471805599453,6.09478035804679e-4
<= 3.5,career guidance,18,6.330894766460326e-4,0.6931471805599453,4.3882418577936887e-4
<= 3.5,counseling careers,16,5.627462014631402e-4,0.6931471805599453,3.9006594291499455e-4
<= 3.5,english major,16,5.627462014631402e-4,0.6931471805599453,3.9006594291499455e-4
<= 3.5,international relations,16,5.627462014631402e-4,0.6931471805599453,3.9006594291499455e-4
<= 3.5,medical program,16,5.627462014631402e-4,0.6931471805599453,3.9006594291499455e-4
<= 3.5,stay motivated,16,5.627462014631402e-4,0.6931471805599453,3.9006594291499455e-4
<= 3.5,ap bio,15,5.275745638716939e-4,0.6931471805599453,3.656868214828074e-4
<= 3.5,doctor engineer,15,5.275745638716939e-4,0.6931471805599453,3.656868214828074e-4
<= 3.5,job security,15,5.275745638716939e-4,0.6931471805599453,3.656868214828074e-4
<= 3.5,learn computer,15,5.275745638716939e-4,0.6931471805599453,3.656868214828074e-4
<= 3.5,marketing major,15,5.275745638716939e-4,0.6931471805599453,3.656868214828074e-4
<= 3.5,york city,15,5.275745638716939e-4,0.6931471805599453,3.656868214828074e-4
<= 3.5,career psychology,14,4.924029262802476e-4,0.6931471805599453,3.413077000506202e-4
<= 3.5,cs degree,14,4.924029262802476e-4,0.6931471805599453,3.413077000506202e-4
> 3.5,class project,19,7.588768622438791e-4,0.6931471805599453,5.260133574565228e-4
> 3.5,medical medicine,17,6.789950872708392e-4,0.6931471805599453,4.7064353035583615e-4
> 3.5,post answering,17,6.789950872708392e-4,0.6931471805599453,4.7064353035583615e-4
> 3.5,questions comment,17,6.789950872708392e-4,0.6931471805599453,4.7064353035583615e-4
> 3.5,clubs related,16,6.390541997843192e-4,0.6931471805599453,4.429586168054928e-4
> 3.5,current profession,16,6.390541997843192e-4,0.6931471805599453,4.429586168054928e-4
> 3.5,marketing strategists,16,6.390541997843192e-4,0.6931471805599453,4.429586168054928e-4
> 3.5,search marketing,16,6.390541997843192e-4,0.6931471805599453,4.429586168054928e-4
> 3.5,college degrees,14,5.591724248112793e-4,0.6931471805599453,3.8758878970480623e-4
> 3.5,student teaching,14,5.591724248112793e-4,0.6931471805599453,3.8758878970480623e-4
> 3.5,private school,13,5.192315373247593e-4,0.6931471805599453,3.599038761544629e-4
> 3.5,studying computer,13,5.192315373247593e-4,0.6931471805599453,3.599038761544629e-4
> 3.5,art therapist,12,4.792906498382394e-4,0.6931471805599453,3.3221896260411963e-4
> 3.5,force academy,12,4.792906498382394e-4,0.6931471805599453,3.3221896260411963e-4
> 3.5,medical imaging,12,4.792906498382394e-4,0.6931471805599453,3.3221896260411963e-4
