quality_group,bigram,n,tf,idf,tf_idf
<= 3.0,traits relate,21,0.001126488574187319,0.6931471805599453,7.808223791309328e-4
<= 3.0,properly fitted,18,9.655616350177019e-4,0.6931471805599453,6.69276324969371e-4
<= 3.0,correct size,17,9.11919321961163e-4,0.6931471805599453,6.320943069155171e-4
<= 3.0,psychiatric nurse,17,9.11919321961163e-4,0.6931471805599453,6.320943069155171e-4
<= 3.0,shoe options,17,9.11919321961163e-4,0.6931471805599453,6.320943069155171e-4
<= 3.0,suited selecting,17,9.11919321961163e-4,0.6931471805599453,6.320943069155171e-4
<= 3.0,bba degree,13,6.97350069735007e-4,0.6931471805599453,4.833662347001013e-4
<= 3.0,psychiatric nurses,12,6.43707756678468e-4,0.6931471805599453,4.461842166462474e-4
<= 3.0,health nurse,11,5.90065443621929e-4,0.6931471805599453,4.0900219859239345e-4
<= 3.0,maintenance industry,11,5.90065443621929e-4,0.6931471805599453,4.0900219859239345e-4
<= 3.0,fun perk,10,5.364231305653899e-4,0.6931471805599453,3.7182018053853944e-4
<= 3.0,jobs based,10,5.364231305653899e-4,0.6931471805599453,3.7182018053853944e-4
<= 3.0,licensed vocational,10,5.364231305653899e-4,0.6931471805599453,3.7182018053853944e-4
<= 3.0,dr beddingfield,9,4.8278081750885096e-4,0.6931471805599453,3.346381624846855e-4
<= 3.0,accessible role,8,4.29138504452312e-4,0.6931471805599453,2.974561444308316e-4
> 3.0,industry trends,203,0.00117096018735363,0.6931471805599453,8.116477524121139e-4
> 3.0,informed decisions,111,6.402787231342509e-4,0.6931471805599453,4.4380739171302785e-4
> 3.0,stay informed,107,6.172056159942778e-4,0.6931471805599453,4.2781433255219796e-4
> 3.0,industry events,101,5.825959552843183e-4,0.6931471805599453,4.038247438109532e-4
> 3.0,khan academy,100,5.768276784993251e-4,0.6931471805599453,3.9982647902074575e-4
> 3.0,professional growth,99,5.710594017143319e-4,0.6931471805599453,3.9582821423053834e-4
> 3.0,personal projects,97,5.595228481443454e-4,0.6931471805599453,3.8783168465012337e-4
> 3.0,credible sources,86,4.960718035094196e-4,0.6931471805599453,3.438507719578414e-4
> 3.0,job outlooks,83,4.7876697315443983e-4,0.6931471805599453,3.31855977587219e-4
> 3.0,solving abilities,82,4.729986963694466e-4,0.6931471805599453,3.2785771279701155e-4
> 3.0,online communities,80,4.614621427994601e-4,0.6931471805599453,3.1986118321659663e-4
> 3.0,career advancement,79,4.5569386601446686e-4,0.6931471805599453,3.1586291842638917e-4
> 3.0,forensic psychology,79,4.5569386601446686e-4,0.6931471805599453,3.1586291842638917e-4
> 3.0,building relationships,76,4.383890356594871e-4,0.6931471805599453,3.038681240557668e-4
> 3.0,data scientists,76,4.383890356594871e-4,0.6931471805599453,3.038681240557668e-4
