quality_group,bigram,n,tf,idf,tf_idf
<= 3.5,college recruiting,36,8.623580702342739e-4,0.6931471805599453,5.977410650160023e-4
<= 3.5,people involved,29,6.946773343553873e-4,0.6931471805599453,4.8151363570733517e-4
<= 3.5,traits relate,25,5.988597709960236e-4,0.6931471805599453,4.1509796181666826e-4
<= 3.5,job situation,22,5.269965984765007e-4,0.6931471805599453,3.6528620639866805e-4
<= 3.5,properly fitted,22,5.269965984765007e-4,0.6931471805599453,3.6528620639866805e-4
<= 3.5,correct size,21,5.030422076366598e-4,0.6931471805599453,3.486822879260013e-4
<= 3.5,shoe options,21,5.030422076366598e-4,0.6931471805599453,3.486822879260013e-4
<= 3.5,suited selecting,21,5.030422076366598e-4,0.6931471805599453,3.486822879260013e-4
<= 3.5,org questions,20,4.790878167968189e-4,0.6931471805599453,3.320783694533346e-4
<= 3.5,tamil nadu,18,4.3117903511713697e-4,0.6931471805599453,2.9887053250800114e-4
<= 3.5,psychiatric nurse,17,4.0722464427729604e-4,0.6931471805599453,2.822666140353344e-4
<= 3.5,bio medical,14,3.353614717577732e-4,0.6931471805599453,2.324548586173342e-4
<= 3.5,medical university,14,3.353614717577732e-4,0.6931471805599453,2.324548586173342e-4
<= 3.5,bba degree,13,3.114070809179323e-4,0.6931471805599453,2.158509401446675e-4
<= 3.5,uc irvine,13,3.114070809179323e-4,0.6931471805599453,2.158509401446675e-4
> 3.5,informed decisions,107,7.529802536206387e-4,0.6931471805599453,5.219261398144582e-4
> 3.5,requires dedication,54,3.8000872612630365e-4,0.6931471805599453,2.634019771026238e-4
> 3.5,step guide,54,3.8000872612630365e-4,0.6931471805599453,2.634019771026238e-4
> 3.5,seek feedback,51,3.5889713023039787e-4,0.6931471805599453,2.4876853393025576e-4
> 3.5,seek mentorship,50,3.518599315984293e-4,0.6931471805599453,2.4389071953946647e-4
> 3.5,valuable resources,50,3.518599315984293e-4,0.6931471805599453,2.4389071953946647e-4
> 3.5,balance careers,47,3.307483357025235e-4,0.6931471805599453,2.2925727636709847e-4
> 3.5,mentorship opportunities,46,3.2371113707055496e-4,0.6931471805599453,2.2437946197630915e-4
> 3.5,music industry,46,3.2371113707055496e-4,0.6931471805599453,2.2437946197630915e-4
> 3.5,ongoing education,45,3.1667393843858634e-4,0.6931471805599453,2.195016475855198e-4
> 3.5,seek internships,45,3.1667393843858634e-4,0.6931471805599453,2.195016475855198e-4
> 3.5,summer programs,45,3.1667393843858634e-4,0.6931471805599453,2.195016475855198e-4
> 3.5,including job,44,3.096367398066178e-4,0.6931471805599453,2.146238331947305e-4
> 3.5,advanced training,43,3.025995411746492e-4,0.6931471805599453,2.0974601880394117e-4
> 3.5,develop strong,43,3.025995411746492e-4,0.6931471805599453,2.0974601880394117e-4
