primary_scenario,n,composite_mean,composite_se,completeness_mean,coherency_mean,correctness_mean
"Barriers, Equity, and Resource Considerations",76,3.1710526315789473,0.06796783468494132,2.657894736842105,3.5789473684210527,3.276315789473684
Non-Degree Certifications/Credentials,40,3.1833333333333336,0.10332781898713521,2.775,3.425,3.35
"Career Decision-Making, Transitioning, and Exploration Resources",2531,3.3418938495983137,0.011688308310131209,2.824575266693003,3.593836428289215,3.6072698538127215
Job Search Strategies and Infrastructure,424,3.3482704402515724,0.027358092151417338,2.8632075471698113,3.5801886792452837,3.601415094339623
Freelancing/Self-Employment/Entrepreneurship,97,3.3608247422680413,0.06937340635074236,2.948453608247423,3.639175257731959,3.4948453608247423
College Queries,1289,3.3765192655805536,0.016228814677796046,2.9519006982156712,3.65166795965865,3.5259891388673394
Resume/CV/LinkedIn Optimization and Personal Branding,543,3.379373848987109,0.0239760662836759,2.9005524861878453,3.6022099447513822,3.6353591160220993
Networking and Mentorship,273,3.3968253968253967,0.034340160562028585,2.9267399267399266,3.5897435897435894,3.6739926739926743
International Careers,31,3.3978494623655915,0.07793535727556637,2.774193548387097,3.806451612903226,3.6129032258064515
Industry-Specific Knowledge and Trends,9054,3.400228260069214,0.00642857916830048,3.013806052573452,3.6370664899491887,3.5498122376850048
Work-Life Balance and Personal Values Alignment,397,3.411418975650714,0.02908853247417167,3.0453400503778334,3.55919395465995,3.629722921914358
First Job Navigation,210,3.4206349206349205,0.03886295736548639,2.9238095238095236,3.6904761904761907,3.647619047619048
Workplace Dynamics,124,3.4704301075268815,0.048734920465127264,3.0483870967741935,3.669354838709677,3.693548387096774
Skill Development,365,3.477625570776256,0.029258221420799934,3.0520547945205485,3.701369863013698,3.6794520547945204
Interview Preparation,122,3.4918032786885247,0.04771070920434364,3.0409836065573765,3.680327868852459,3.7540983606557377
