intent_label,status,n,composite_mean,composite_se
Explore Options,Absent,5924,3.3945532297996848,0.007749387332535587
Explore Options,Present,10206,3.3807564177934535,0.005987550028315492
Take Action,Absent,9632,3.3899501661129574,0.006173367139581742
Take Action,Present,6498,3.379706576382476,0.007390704380639661
Understanding Purpose,Absent,14383,3.3908549444946576,0.005030792177102643
Understanding Purpose,Present,1747,3.3443999236786874,0.014061545921121585
Validation / Support,Absent,11552,3.381982917820867,0.005619047143076544
Validation / Support,Present,4578,3.395514780835881,0.008814731588748693
Find Resources,Absent,13456,3.387534680935393,0.005187343363094926
Find Resources,Present,2674,3.3772126651707803,0.011647898011038965
Navigate Constraints,Absent,15630,3.3880358285348677,0.004807759336071211
Navigate Constraints,Present,500,3.316666666666667,0.02780270535928178
Compare Options,Absent,14434,3.3922220682647466,0.004973269934141624
Compare Options,Present,1696,3.331367924528302,0.015420095103819155
Unclear Goal,Absent,15740,3.38396865734858,0.004796266275993249
Unclear Goal,Present,390,3.460683760683761,0.03045097815984509
