primary_scenario,intent_label,n,composite_mean,completeness_mean,coherency_mean,correctness_mean,display_quality,display_completeness,display_coherency,display_correctness,cell_label,score_label,completeness_label,coherency_label,correctness_label
Industry-Specific Knowledge and Trends,Explore Options,6806,3.3982760309530806,3.008521892447837,3.639141933588013,3.547164266823382,3.3982760309530806,3.008521892447837,3.639141933588013,3.547164266823382,6.8k,3.4,3.01,3.64,3.55
Industry-Specific Knowledge and Trends,Take Action,3417,3.4004487367086136,2.992390986245242,3.6453028972783152,3.5636523266022784,3.4004487367086136,2.992390986245242,3.6453028972783152,3.5636523266022784,3.4k,3.4,2.99,3.65,3.56
Industry-Specific Knowledge and Trends,Understanding Purpose,697,3.3299856527977045,2.892395982783358,3.596843615494978,3.500717360114778,3.3299856527977045,2.892395982783358,3.596843615494978,3.500717360114778,697,3.33,2.89,3.6,3.5
Industry-Specific Knowledge and Trends,Validation / Support,1914,3.4235458028561476,3.0538140020898634,3.643678160919539,3.5731452455590405,3.4235458028561476,3.0538140020898634,3.643678160919539,3.5731452455590405,1.9k,3.42,3.05,3.64,3.57
Industry-Specific Knowledge and Trends,Find Resources,1121,3.367826345524829,2.919714540588761,3.63157894736842,3.552185548617307,3.367826345524829,2.919714540588761,3.63157894736842,3.552185548617307,1.1k,3.37,2.92,3.63,3.55
Industry-Specific Knowledge and Trends,Navigate Constraints,189,3.2768959435626104,2.8201058201058204,3.5873015873015874,3.4232804232804233,3.2768959435626104,2.8201058201058204,3.5873015873015874,3.4232804232804233,189,3.28,2.82,3.59,3.42
Industry-Specific Knowledge and Trends,Compare Options,941,3.3280198370527807,2.9277364505844856,3.616365568544101,3.4399574920297553,3.3280198370527807,2.9277364505844856,3.616365568544101,3.4399574920297553,941,3.33,2.93,3.62,3.44
Industry-Specific Knowledge and Trends,Unclear Goal,197,3.475465313028765,3.2081218274111674,3.614213197969543,3.6040609137055837,3.475465313028765,3.2081218274111674,3.614213197969543,3.6040609137055837,197,3.48,3.21,3.61,3.6
"Career Decision-Making, Transitioning, and Exploration Resources",Explore Options,1196,3.3447603121516165,2.8210702341137153,3.596153846153846,3.6170568561872916,3.3447603121516165,2.8210702341137153,3.596153846153846,3.6170568561872916,1.2k,3.34,2.82,3.6,3.62
"Career Decision-Making, Transitioning, and Exploration Resources",Take Action,1252,3.3189563365282213,2.7819488817891402,3.5790734824281154,3.5958466453674127,3.3189563365282213,2.7819488817891402,3.5790734824281154,3.5958466453674127,1.3k,3.32,2.78,3.58,3.6
